,fileName,baby,bird,car,clouds,dog,female,flower,male,night,people,portrait,river,sea,tree,classes
1430,train/images/im1431.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1432,train/images/im1433.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1434,train/images/im1435.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1436,train/images/im1437.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1444,train/images/im1445.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1445,train/images/im1446.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1446,train/images/im1447.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1447,train/images/im1448.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1448,train/images/im1449.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1449,train/images/im1450.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1452,train/images/im1453.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1454,train/images/im1455.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1455,train/images/im1456.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1456,train/images/im1457.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1459,train/images/im1460.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1462,train/images/im1463.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1463,train/images/im1464.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1465,train/images/im1466.jpg,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"['clouds', 'male', 'people']"
1466,train/images/im1467.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1469,train/images/im1470.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1473,train/images/im1474.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1474,train/images/im1475.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1475,train/images/im1476.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1476,train/images/im1477.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1479,train/images/im1480.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1481,train/images/im1482.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1482,train/images/im1483.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1483,train/images/im1484.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1484,train/images/im1485.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1487,train/images/im1488.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1488,train/images/im1489.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1489,train/images/im1490.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1492,train/images/im1493.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1493,train/images/im1494.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1496,train/images/im1497.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1498,train/images/im1499.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1499,train/images/im1500.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1500,train/images/im1501.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
1501,train/images/im1502.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['clouds', 'flower']"
1502,train/images/im1503.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1503,train/images/im1504.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1505,train/images/im1506.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1506,train/images/im1507.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1507,train/images/im1508.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1510,train/images/im1511.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1511,train/images/im1512.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1512,train/images/im1513.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1513,train/images/im1514.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1514,train/images/im1515.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1516,train/images/im1517.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1517,train/images/im1518.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1518,train/images/im1519.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1519,train/images/im1520.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1521,train/images/im1522.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1522,train/images/im1523.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1523,train/images/im1524.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1524,train/images/im1525.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1526,train/images/im1527.jpg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"['car', 'clouds']"
1527,train/images/im1528.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1528,train/images/im1529.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1531,train/images/im1532.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1532,train/images/im1533.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1533,train/images/im1534.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1534,train/images/im1535.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1535,train/images/im1536.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1537,train/images/im1538.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1539,train/images/im1540.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1543,train/images/im1544.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['clouds', 'sea']"
1544,train/images/im1545.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1547,train/images/im1548.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1548,train/images/im1549.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1549,train/images/im1550.jpg,0,0,0,1,0,0,0,1,1,1,0,0,0,0,"['clouds', 'male', 'night', 'people']"
1550,train/images/im1551.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1551,train/images/im1552.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1552,train/images/im1553.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1558,train/images/im1559.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1562,train/images/im1563.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1563,train/images/im1564.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1565,train/images/im1566.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1567,train/images/im1568.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
1568,train/images/im1569.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1569,train/images/im1570.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1570,train/images/im1571.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
1572,train/images/im1573.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1574,train/images/im1575.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1576,train/images/im1577.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1578,train/images/im1579.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1581,train/images/im1582.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1582,train/images/im1583.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1584,train/images/im1585.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1587,train/images/im1588.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1588,train/images/im1589.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1590,train/images/im1591.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1592,train/images/im1593.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1594,train/images/im1595.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1595,train/images/im1596.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1597,train/images/im1598.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1598,train/images/im1599.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1599,train/images/im1600.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1601,train/images/im1602.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1602,train/images/im1603.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1607,train/images/im1608.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1608,train/images/im1609.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
1609,train/images/im1610.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1610,train/images/im1611.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1612,train/images/im1613.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1613,train/images/im1614.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1614,train/images/im1615.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1615,train/images/im1616.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1616,train/images/im1617.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"['bird', 'clouds']"
1619,train/images/im1620.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1620,train/images/im1621.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1621,train/images/im1622.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1622,train/images/im1623.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1623,train/images/im1624.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"['female', 'flower']"
1624,train/images/im1625.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
1626,train/images/im1627.jpg,0,0,0,1,0,1,0,0,0,1,0,0,0,0,"['clouds', 'female', 'people']"
1631,train/images/im1632.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1632,train/images/im1633.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1633,train/images/im1634.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1634,train/images/im1635.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1635,train/images/im1636.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1640,train/images/im1641.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1641,train/images/im1642.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1642,train/images/im1643.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1643,train/images/im1644.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['river']
1646,train/images/im1647.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1647,train/images/im1648.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1649,train/images/im1650.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1652,train/images/im1653.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1654,train/images/im1655.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1658,train/images/im1659.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1661,train/images/im1662.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1662,train/images/im1663.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1663,train/images/im1664.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1664,train/images/im1665.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1665,train/images/im1666.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1667,train/images/im1668.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1672,train/images/im1673.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1675,train/images/im1676.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1682,train/images/im1683.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1685,train/images/im1686.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1686,train/images/im1687.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1687,train/images/im1688.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1690,train/images/im1691.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1692,train/images/im1693.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1694,train/images/im1695.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1695,train/images/im1696.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1696,train/images/im1697.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1698,train/images/im1699.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1699,train/images/im1700.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1700,train/images/im1701.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1701,train/images/im1702.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1702,train/images/im1703.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1703,train/images/im1704.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['female']
1705,train/images/im1706.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1708,train/images/im1709.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1709,train/images/im1710.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1710,train/images/im1711.jpg,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"['clouds', 'male', 'people']"
1712,train/images/im1713.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1716,train/images/im1717.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1717,train/images/im1718.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1718,train/images/im1719.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"['baby', 'people']"
1721,train/images/im1722.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1722,train/images/im1723.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1723,train/images/im1724.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1724,train/images/im1725.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1726,train/images/im1727.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1729,train/images/im1730.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1731,train/images/im1732.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1733,train/images/im1734.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1735,train/images/im1736.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1736,train/images/im1737.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1738,train/images/im1739.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1740,train/images/im1741.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"['male', 'night', 'people']"
1742,train/images/im1743.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['clouds', 'sea']"
1744,train/images/im1745.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1746,train/images/im1747.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1749,train/images/im1750.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1751,train/images/im1752.jpg,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"['female', 'night', 'people']"
1752,train/images/im1753.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1753,train/images/im1754.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1754,train/images/im1755.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1755,train/images/im1756.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
1756,train/images/im1757.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1758,train/images/im1759.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1764,train/images/im1765.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1765,train/images/im1766.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1770,train/images/im1771.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1771,train/images/im1772.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1773,train/images/im1774.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1774,train/images/im1775.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1775,train/images/im1776.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1776,train/images/im1777.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['people', 'portrait']"
1781,train/images/im1782.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['clouds', 'river']"
1783,train/images/im1784.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1784,train/images/im1785.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1785,train/images/im1786.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1787,train/images/im1788.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1788,train/images/im1789.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1789,train/images/im1790.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1790,train/images/im1791.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1793,train/images/im1794.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1794,train/images/im1795.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1795,train/images/im1796.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
1796,train/images/im1797.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1797,train/images/im1798.jpg,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"['dog', 'female', 'people']"
1800,train/images/im1801.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1801,train/images/im1802.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1802,train/images/im1803.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"['flower', 'tree']"
1805,train/images/im1806.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
1807,train/images/im1808.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1809,train/images/im1810.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1810,train/images/im1811.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1812,train/images/im1813.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1813,train/images/im1814.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
1814,train/images/im1815.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1815,train/images/im1816.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1816,train/images/im1817.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
1817,train/images/im1818.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1818,train/images/im1819.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1820,train/images/im1821.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1821,train/images/im1822.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1824,train/images/im1825.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1828,train/images/im1829.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1829,train/images/im1830.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1830,train/images/im1831.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1831,train/images/im1832.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1832,train/images/im1833.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
1833,train/images/im1834.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1834,train/images/im1835.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1835,train/images/im1836.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1837,train/images/im1838.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1839,train/images/im1840.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1840,train/images/im1841.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1844,train/images/im1845.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1849,train/images/im1850.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1851,train/images/im1852.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
1852,train/images/im1853.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1853,train/images/im1854.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1854,train/images/im1855.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1855,train/images/im1856.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1857,train/images/im1858.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1861,train/images/im1862.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1863,train/images/im1864.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1865,train/images/im1866.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1868,train/images/im1869.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
1869,train/images/im1870.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1871,train/images/im1872.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1872,train/images/im1873.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['sea']
1873,train/images/im1874.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1874,train/images/im1875.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1875,train/images/im1876.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1878,train/images/im1879.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1882,train/images/im1883.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
1884,train/images/im1885.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1887,train/images/im1888.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
1888,train/images/im1889.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
1889,train/images/im1890.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
1890,train/images/im1891.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
1891,train/images/im1892.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1892,train/images/im1893.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
1894,train/images/im1895.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
1895,train/images/im1896.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
